Passo76: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532342.4428842
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo77: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532342.7303538
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo78: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1745532344.7834299
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo79: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532350.0843804
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo80: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532351.88206
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo81: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532352.1621244
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo82: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532354.8438754
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo83: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532356.749597
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo84: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532357.0226023
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo85: [False, False, True, True, True] | Valor do passo: 7 | timestamp: 1745532357.1552017
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo86: [False, False, False, True, True] | Valor do passo: 3 | timestamp: 1745532358.847003
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo87: [False, False, False, False, True] | Valor do passo: 1 | timestamp: 1745532358.9140027
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo88: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532362.4101634
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo89: [True, False, True, False, True] | Valor do passo: 21 | timestamp: 1745532363.6232874
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo90: [True, True, True, False, True] | Valor do passo: 29 | timestamp: 1745532364.4338884
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo91: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532364.4621944
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo92: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532369.4550376
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo93: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532372.5187798
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo94: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532374.5007415
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo95: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532376.7280955
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo96: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532376.9463744
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo97: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532377.24809
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo98: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1745532379.331622
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo99: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532384.5017302
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo100: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532386.437026
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
