Passo,Step,Valor do Passo,Timestamp
175,"[False, False, True, False, True]",5,1745532521.8449612
176,"[False, False, True, False, True]",5,1745532522.1639795
177,"[False, False, True, False, False]",4,1745532524.2038424
178,"[False, False, True, False, True]",5,1745532529.4332542
179,"[False, False, True, False, True]",5,1745532531.274896
180,"[False, True, True, False, True]",13,1745532531.5028715
181,"[False, True, True, False, False]",12,1745532534.200722
182,"[False, True, True, True, False]",14,1745532536.1432436
183,"[False, True, True, True, True]",15,1745532536.4354725
184,"[False, False, True, True, True]",7,1745532536.556548
185,"[False, False, False, True, True]",3,1745532539.6276748
186,"[False, False, False, False, True]",1,1745532539.6316733
187,"[False, False, True, False, True]",5,1745532539.8575637
188,"[True, False, True, False, True]",21,1745532543.5544434
189,"[False, False, True, False, True]",5,1745532544.2609744
190,"[False, True, True, False, True]",13,1745532544.2779777
191,"[False, True, True, True, True]",15,1745532549.3098643
192,"[False, True, True, True, False]",14,1745532552.4243038
193,"[False, True, True, False, False]",12,1745532554.361585
194,"[False, True, True, False, True]",13,1745532556.6107557
195,"[False, False, True, False, True]",5,1745532556.8269224
196,"[False, False, True, False, True]",5,1745532557.1287065
197,"[False, False, True, False, False]",4,1745532559.1549313
198,"[False, False, True, False, True]",5,1745532564.3839304
199,"[False, False, True, False, True]",5,1745532566.2399774
200,"[False, True, True, False, True]",13,1745532569.1459415
201,"[False, True, True, False, False]",12,1745532569.1519423
202,"[False, True, True, True, False]",14,1745532571.1416178
203,"[False, True, True, True, True]",15,1745532571.382367
204,"[False, False, True, True, True]",7,1745532571.5079014
205,"[False, False, False, True, True]",3,1745532574.167358
206,"[False, False, False, False, True]",1,1745532574.2207744
207,"[False, False, True, False, True]",5,1745532574.3720467
208,"[True, False, True, False, True]",21,1745532576.7794397
209,"[False, True, True, False, True]",13,1745532577.3859234
210,"[False, True, True, True, True]",15,1745532582.4035282
211,"[False, True, True, True, False]",14,1745532585.4679906
212,"[False, True, True, False, False]",12,1745532587.4494667
213,"[False, True, True, False, True]",13,1745532589.683441
214,"[False, False, True, False, True]",5,1745532589.9845197
215,"[False, False, True, False, True]",5,1745532590.2211068
216,"[False, False, True, False, False]",4,1745532592.326803
217,"[False, False, True, False, True]",5,1745532597.4633987
218,"[False, False, True, False, True]",5,1745532599.3176658
219,"[False, True, True, False, False]",12,1745532602.2822907
220,"[False, True, True, True, False]",14,1745532604.2142117
221,"[False, False, True, True, True]",7,1745532605.0288908
222,"[False, False, False, False, True]",1,1745532607.419573
223,"[False, False, True, False, True]",5,1745532607.5170977
224,"[True, False, True, False, True]",21,1745532610.8815596
225,"[False, True, True, False, True]",13,1745532613.2054093
226,"[False, True, True, True, True]",15,1745532616.4384549
227,"[False, True, True, True, False]",14,1745532619.5239894
228,"[False, True, True, False, False]",12,1745532621.497804
229,"[False, True, True, False, True]",13,1745532623.7703953
230,"[False, False, True, False, True]",5,1745532623.952445
231,"[False, False, True, False, True]",5,1745532624.2137182
232,"[False, False, True, False, False]",4,1745532626.309811
233,"[False, False, True, False, True]",5,1745532631.5544305
234,"[False, False, True, False, True]",5,1745532633.365765
235,"[False, True, True, False, True]",13,1745532633.5953517
236,"[False, True, True, False, False]",12,1745532636.2699842
237,"[False, True, True, True, False]",14,1745532638.2732966
238,"[False, True, True, True, True]",15,1745532638.5240314
239,"[False, False, True, True, True]",7,1745532638.6435587
240,"[False, False, False, True, True]",3,1745532641.2899888
241,"[False, False, False, False, True]",1,1745532641.4504268
242,"[False, False, True, False, True]",5,1745532641.5469568
243,"[True, False, True, False, True]",21,1745532644.5201247
244,"[False, False, True, False, True]",5,1745532644.9883342
245,"[False, True, True, False, True]",13,1745532645.0734518
246,"[False, True, True, True, True]",15,1745532650.0553503
247,"[False, True, True, True, False]",14,1745532653.1229687
248,"[False, True, True, False, False]",12,1745532655.0938838
249,"[False, True, True, False, True]",13,1745532657.3206506
250,"[False, False, True, False, True]",5,1745532657.5188189
251,"[False, False, True, False, True]",5,1745532657.845931
252,"[False, False, True, False, False]",4,1745532659.892073
253,"[False, False, True, False, True]",5,1745532665.0919023
254,"[False, False, True, False, True]",5,1745532666.953131
255,"[False, True, True, False, True]",13,1745532669.8520973
256,"[False, True, True, False, False]",12,1745532669.9082804
257,"[False, True, True, True, False]",14,1745532671.8234606
258,"[False, True, True, True, True]",15,1745532672.1358733
259,"[False, False, True, True, True]",7,1745532672.2381148
260,"[False, False, False, True, True]",3,1745532674.8214512
261,"[False, False, False, False, True]",1,1745532674.8774557
262,"[False, False, True, False, True]",5,1745532675.0245295
263,"[True, False, True, False, True]",21,1745532677.4902894
264,"[False, False, True, False, True]",5,1745532677.977799
265,"[False, True, True, False, True]",13,1745532677.9958088
266,"[False, True, True, True, True]",15,1745532683.0712929
267,"[False, True, True, True, False]",14,1745532686.088099
268,"[False, True, True, False, False]",12,1745532688.0733922
269,"[False, True, True, False, True]",13,1745532690.3556745
270,"[False, False, True, False, True]",5,1745532690.508847
271,"[False, False, True, False, True]",5,1745532690.786655
272,"[False, False, True, False, False]",4,1745532692.8528461
273,"[False, False, True, False, True]",5,1745532698.069474
274,"[False, False, True, False, True]",5,1745532699.9674437
275,"[False, True, True, False, True]",13,1745532702.83784
276,"[False, True, True, False, False]",12,1745532702.8588352
277,"[False, True, True, True, False]",14,1745532704.8228137
278,"[False, True, True, True, True]",15,1745532705.0907252
279,"[False, False, True, True, True]",7,1745532705.2463355
280,"[False, False, False, True, True]",3,1745532708.0128493
281,"[False, False, False, False, True]",1,1745532708.056743
282,"[False, False, True, False, True]",5,1745532708.1803503
283,"[True, False, True, False, True]",21,1745532711.347413
284,"[False, False, True, False, True]",5,1745532712.1080384
285,"[False, True, True, False, True]",13,1745532712.1451442
286,"[False, True, True, True, True]",15,1745532717.174944
287,"[False, True, True, True, False]",14,1745532720.271488
288,"[False, True, True, False, False]",12,1745532722.2274637
289,"[False, True, True, False, True]",13,1745532724.4588
290,"[False, False, True, False, True]",5,1745532724.663131
291,"[False, False, True, False, True]",5,1745532724.9585629
292,"[False, False, True, False, False]",4,1745532727.013942
293,"[False, False, True, False, True]",5,1745532732.2662666
294,"[False, False, True, False, True]",5,1745532734.1006873
295,"[False, True, True, False, True]",13,1745532734.365939
296,"[False, True, True, False, False]",12,1745532737.0269403
297,"[False, True, True, True, False]",14,1745532738.9722219
298,"[False, True, True, True, True]",15,1745532739.2984161
299,"[False, False, True, True, True]",7,1745532739.3845649
300,"[False, False, False, True, True]",3,1745532742.4147103
301,"[False, False, False, False, True]",1,1745532742.4781713
302,"[False, False, True, False, True]",5,1745532742.6692622
